bill_id,sponsor_name
ocd-bill/806599f4-efd4-4ebe-92ce-d2387c92ef44,Latoya Joyner
ocd-bill/806599f4-efd4-4ebe-92ce-d2387c92ef44,John T. McDonald III
ocd-bill/806599f4-efd4-4ebe-92ce-d2387c92ef44,Juan Ardila
ocd-bill/806599f4-efd4-4ebe-92ce-d2387c92ef44,George Alvarez
ocd-bill/806599f4-efd4-4ebe-92ce-d2387c92ef44,Phara Souffrant Forrest
ocd-bill/806599f4-efd4-4ebe-92ce-d2387c92ef44,Al Taylor
ocd-bill/18c8a1ce-c68b-4854-8361-7675c294d1b9,J. Gary Pretlow
ocd-bill/fd3d3276-ddcd-479e-bcd0-2b70a8e023ee,Linda Rosenthal
ocd-bill/0f06d5f9-f6fd-4441-83cc-b5d98528be05,David Weprin
ocd-bill/0f06d5f9-f6fd-4441-83cc-b5d98528be05,Tony Simone
ocd-bill/0f06d5f9-f6fd-4441-83cc-b5d98528be05,Alex Bores
ocd-bill/0f06d5f9-f6fd-4441-83cc-b5d98528be05,Zohran Mamdani
ocd-bill/0f06d5f9-f6fd-4441-83cc-b5d98528be05,Phil Steck
ocd-bill/0f06d5f9-f6fd-4441-83cc-b5d98528be05,Linda Rosenthal
ocd-bill/0f06d5f9-f6fd-4441-83cc-b5d98528be05,Jo Anne Simon
ocd-bill/0f06d5f9-f6fd-4441-83cc-b5d98528be05,Jessica Gonzalez-Rojas
ocd-bill/0f06d5f9-f6fd-4441-83cc-b5d98528be05,Steven Raga
ocd-bill/48ce319a-ea2f-455f-a2e8-5f04b0d34173,Linda Rosenthal
ocd-bill/299bb729-e5c7-4f14-9b80-9d20800a7339,Jonathan Jacobson
ocd-bill/299bb729-e5c7-4f14-9b80-9d20800a7339,Christopher Eachus
ocd-bill/7e0eee5e-43e4-4f9e-a4a5-c256f92930dd,Latoya Joyner
ocd-bill/7e0eee5e-43e4-4f9e-a4a5-c256f92930dd,Jo Anne Simon
ocd-bill/7e0eee5e-43e4-4f9e-a4a5-c256f92930dd,Al Taylor
ocd-bill/7e0eee5e-43e4-4f9e-a4a5-c256f92930dd,Keith Brown
ocd-bill/b239e540-73a4-4d68-b99a-8420af9760fc,Robert C. Carroll
ocd-bill/349ea762-9aaa-40e4-a64e-7ccb42d68ca8,Robert C. Carroll
ocd-bill/86cda93d-102e-4ecd-80b8-171e2cb67e74,David Weprin
ocd-bill/243a1e86-8136-4138-8b8f-d25a58f8f027,Angelo Santabarbara
ocd-bill/9e9aa9c7-4f12-42e6-bf21-2e27f8fbde78,J. Gary Pretlow
ocd-bill/f2b88076-3e2b-4dd2-a5c6-0fb94b3d55a0,Stefani Zinerman
ocd-bill/3a65a6fb-1a43-41af-89ba-eaed8d4ae9ff,Kenneth Zebrowski
ocd-bill/8e88447b-5fca-4142-82ef-0627f1de7836,Michael Durso
ocd-bill/62d9f5fa-6134-4913-8428-ff0fa4dbfde0,Stefani Zinerman
ocd-bill/a9f8f924-b982-4f6f-8b28-1d3ecf4422fe,Aileen Gunther
ocd-bill/4d872a30-e787-49d0-a770-1b6e96a18987,Jo Anne Simon
ocd-bill/4d872a30-e787-49d0-a770-1b6e96a18987,Jonathan Jacobson
ocd-bill/1d7c4803-1515-4efc-9531-15a943fd7da0,Michael J. Norris
ocd-bill/1d7c4803-1515-4efc-9531-15a943fd7da0,Stephen Hawley
ocd-bill/1d7c4803-1515-4efc-9531-15a943fd7da0,Angelo J. Morinello
ocd-bill/1d7c4803-1515-4efc-9531-15a943fd7da0,Marjorie Byrnes
