bill_id,bill_name,title,abstract,subject
ocd-bill/806599f4-efd4-4ebe-92ce-d2387c92ef44,A 806,Requires certain civil court documents to be provided to parties in their native language,Relates to requiring certain civil court documents to be provided to parties in their native language and requiring parties to demonstrate their understanding of the nature and effect of such documents.,security
ocd-bill/18c8a1ce-c68b-4854-8361-7675c294d1b9,A 853,Authorizes the city of Yonkers to establish one or more transportation improvement districts,Authorizes the city of Yonkers to establish one or more transportation improvement districts to improve transportation in certain critical areas of the city.,transportation
ocd-bill/fd3d3276-ddcd-479e-bcd0-2b70a8e023ee,A 750,Relates to establishing a training program for first responders for responding to victims of suspected drug overdose and the administration of opioid antagonists,Establishes a training program for first responders for responding to victims of suspected drug overdose and the administration of opioid antagonists.,education
ocd-bill/0f06d5f9-f6fd-4441-83cc-b5d98528be05,A 846,Repeals provisions of law granting real property tax exemption to certain entities; repealer,Repeals provisions granting real property tax exemption to certain entities.,taxation
ocd-bill/48ce319a-ea2f-455f-a2e8-5f04b0d34173,A 726,Provides for the humane removal of downed animals,Provides for the humane treatment and removal of downed animals.,housing
ocd-bill/299bb729-e5c7-4f14-9b80-9d20800a7339,A 952,"Provides for a partial real property tax exemption for the water filtration plant for the City of Newburgh, Orange County, New York","Provides for a partial real property tax exemption for the water filtration plant for the City of Newburgh, Orange County, New York.",taxation
ocd-bill/7e0eee5e-43e4-4f9e-a4a5-c256f92930dd,A 916,Relates to extending the two hundred foot rule to certain treatment facilities,Relates to extending the two hundred foot rule to certain treatment facilities for mental illness and chemical dependence operating under the mental hygiene law.,transportation
ocd-bill/b239e540-73a4-4d68-b99a-8420af9760fc,A 673,Relates to permitting party enrollment within 10 days of an election; repealer,"Permits party enrollment and change of party enrollment within 10 days of a primary, general, or special election.",elections
ocd-bill/349ea762-9aaa-40e4-a64e-7ccb42d68ca8,A 656,Requires an automatic recanvass of ballots in certain elections,Relates to requiring an automatic recanvass of votes where the difference between votes cast for two candidates that determines a candidate's nomination or election to office is less than one-half of one percent of total ballots cast in such contest.,elections
ocd-bill/86cda93d-102e-4ecd-80b8-171e2cb67e74,A 772,Limits fees that may be exacted for the production of records relating to the condition or treatment of a patient,"Provides that notwithstanding the provisions of the public health law, no fee other than those authorized by section 2303 (a) of the civil practice law and rules may be exacted or levied for the production of records relating to the condition or treatment of a patient; relates to access by an adverse party to medical records.",taxation
ocd-bill/243a1e86-8136-4138-8b8f-d25a58f8f027,A 3533,"Authorizes the issuance of ""Blue Star Mother"" and ""Blue Star Family"" distinctive license plates and establishes the ""blue star mothers and families fund""","Authorizes the issuance of ""Blue Star Mother"" and ""Blue Star Family"" distinctive license plates for parents and family members of active duty service members; establishes the ""blue star mothers and families support fund"".",transportation
ocd-bill/9e9aa9c7-4f12-42e6-bf21-2e27f8fbde78,A 3511,Requires the commissioner of motor vehicles to install notification of the thirty foot requirement on every stop sign,Requires the commissioner of motor vehicles to install notification of the thirty-foot requirement on every stop sign; ensures that the required distance established by the law will be posted on any stop sign to forewarn motorists upon approaching a stop sign.,transportation
ocd-bill/f2b88076-3e2b-4dd2-a5c6-0fb94b3d55a0,A 3554,Relates to RFPs for gun violence reduction,"Relates to RFPs for gun violence reduction; provides that any state agency that issues an RFP relating to gun violence reduction shall establish a coordination plan including all awardees; requires that such coordination plans shall be in a form as prescribed by the department of state; requires that at a minimum, such coordination plan shall help ensure complete coverage of the area for which such RFP is issued and minimize competition between awardees.",security
